"Classification(1)",Classification(2),2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"Total",Sub Summary,0.0270,0.0250,0.0270,0.0220,0.0210,0.0170,0.0150,0.0150,0.0190,0.0190,0.0260,0.0260,0.0260,0.0250,0.0230,0.0200,0.0170,0.0160,0.0130,0.0120,0.0140,0.0200,0.0290,0.0250,0.0270,0.0240,0.0210,0.0190,0.0180,0.0140,0.0110,0.0120,0.0130,0.0160,0.0230,0.0240,0.0220,0.0200,0.0170,0.0140,0.0120,0.0120,0.0100,0.0090,0.0110,0.0170,0.0200,0.0220,0.0200,0.0190,0.0190,0.0140,0.0120,0.0110,0.0100,0.0090,0.0090,0.0140,0.0200,0.0210,0.0220,0.0170,0.0170,0.0130,0.0110,0.0090,0.0090,0.0090,0.0100,0.0130,0.0190,0.0190
"Seoul",Seoul,0.0350,0.0350,0.0380,0.0310,0.0280,0.0240,0.0230,0.0210,0.0270,0.0270,0.0330,0.0340,0.0350,0.0340,0.0330,0.0310,0.0250,0.0240,0.0190,0.0170,0.0190,0.0280,0.0390,0.0350,0.0390,0.0360,0.0340,0.0290,0.0280,0.0200,0.0180,0.0180,0.0210,0.0250,0.0340,0.0350,0.0340,0.0320,0.0270,0.0210,0.0200,0.0190,0.0160,0.0140,0.0160,0.0250,0.0300,0.0320,0.0310,0.0300,0.0320,0.0220,0.0190,0.0180,0.0160,0.0150,0.0140,0.0220,0.0310,0.0310,0.0320,0.0260,0.0260,0.0200,0.0150,0.0130,0.0140,0.0130,0.0160,0.0200,0.0280,0.0280
"Busan",Busan,0.0240,0.0210,0.0220,0.0210,0.0210,0.0180,0.0170,0.0130,0.0170,0.0160,0.0250,0.0230,0.0220,0.0220,0.0210,0.0190,0.0180,0.0190,0.0160,0.0120,0.0140,0.0190,0.0270,0.0230,0.0240,0.0220,0.0200,0.0190,0.0210,0.0160,0.0150,0.0140,0.0150,0.0170,0.0230,0.0260,0.0210,0.0200,0.0160,0.0140,0.0140,0.0150,0.0140,0.0110,0.0120,0.0170,0.0200,0.0200,0.0190,0.0180,0.0170,0.0150,0.0140,0.0140,0.0100,0.0110,0.0100,0.0150,0.0210,0.0210,0.0210,0.0160,0.0180,0.0160,0.0150,0.0100,0.0120,0.0110,0.0100,0.0130,0.0190,0.0170
"Daegu",Daegu,0.0280,0.0250,0.0240,0.0190,0.0180,0.0140,0.0130,0.0120,0.017*,0.018*,0.0280,0.0280,0.0270,0.0250,0.0220,0.0170,0.0130,0.0130,0.0100,0.0100,0.0140,0.0210,0.0330,0.0290,0.0290,0.0260,0.0210,0.0170,0.0160,0.0130,0.0110,0.0120,0.0130,0.0170,0.0260,0.0300,0.0270,0.0230,0.0170,0.0130,0.0110,0.0120,0.0110,0.0090,0.0130,0.0190,0.0240,0.0240,0.0230,0.0220,0.0180,0.0130,0.0120,0.0100,0.0090,0.0100,0.0100,0.0160,0.0240,0.0250,0.0250,0.0180,0.0180,0.0130,0.0110,0.0080,0.0080,0.0090,0.0100,0.0140,0.0250,0.0230
"Incheon",Incheon,0.0270,0.0260,0.0300,0.0250,0.0220,0.0180,0.0180,0.0190,0.0220,0.0220,0.0260,0.0310,0.0290,0.0270,0.0290,0.0270,0.0230,0.0220,0.0170,0.0160,0.0190,0.0260,0.0350,0.0300,0.0320,0.0290,0.0280,0.0260,0.0230,0.0170,0.0150,0.0150,0.0210,0.0230,0.0310,0.0310,0.0280,0.0270,0.0230,0.0170,0.0170,0.0160,0.0140,0.0120,0.0150,0.0210,0.0270,0.0270,0.0270,0.0240,0.0280,0.0210,0.0170,0.0170,0.0140,0.0140,0.0140,0.0200,0.0260,0.0280,0.0260,0.0220,0.0240,0.0180,0.0140,0.0120,0.0120,0.0110,0.0150,0.0190,0.0260,0.0240
"Gwangju",Gwangju,0.0230,0.0220,0.0250,0.0180,0.0170,0.0150,0.0110,0.0120,0.0150,0.0170,0.0260,0.0240,0.0240,0.0240,0.0190,0.0160,0.0130,0.0110,0.0090,0.0080,0.0130,0.0190,0.0300,0.0240,0.0250,0.0200,0.0220,0.0190,0.0170,0.0140,0.0110,0.0110,0.0120,0.0170,0.0230,0.0250,0.0210,0.0180,0.0150,0.0130,0.0100,0.0090,0.0080,0.0060,0.0110,0.0160,0.0190,0.0220,0.0210,0.0190,0.0160,0.0130,0.0090,0.0090,0.0070,0.0080,0.0090,0.0130,0.0210,0.0210,0.0200,0.0170,0.0160,0.0130,0.0110,0.0070,0.0060,0.0070,0.0110,0.0140,0.0210,0.0220
"Daejeon",Daejeon,0.0240,0.0230,0.0210,0.0160,0.0150,0.0140,0.0110,0.0120,0.0160,0.0180,0.0230,0.0240,0.0260,0.0280,0.0220,0.0170,0.0140,0.0140,0.0110,0.0110,0.0120,0.0200,0.0300,0.0280,0.0290,0.0270,0.0230,0.0180,0.0170,0.0130,0.0110,0.0110,0.0130,0.0180,0.0250,0.0280,0.0260,0.0230,0.0180,0.0140,0.0110,0.0120,0.0100,0.0100,0.0120,0.0210,0.0240,0.0270,0.0250,0.0200,0.0210,0.0150,0.0120,0.0120,0.0090,0.0110,0.0110,0.0180,0.0240,0.0250,0.0270,0.0220,0.0210,0.0160,0.0130,0.0100,0.0100,0.0100,0.0120,0.0170,0.0250,0.0250
"Ulsan",Ulsan,0.0240,0.0230,0.0250,0.0240,0.0260,0.0200,0.0190,0.0120,0.0170,0.0160,0.0280,0.0250,0.0240,0.0240,0.0230,0.0210,0.0190,0.0200,0.0170,0.0130,0.0130,0.0180,0.0270,0.0220,0.0240,0.0220,0.0220,0.0210,0.0240,0.0190,0.0160,0.0140,0.0150,0.0160,0.0220,0.0250,0.0210,0.0210,0.0180,0.0160,0.0150,0.0180,0.0150,0.0130,0.0140,0.0170,0.0220,0.0230,0.0220,0.0210,0.0200,0.0180,0.0170,0.0160,0.0130,0.0130,0.0110,0.0150,0.0210,0.0210,0.0220,0.0180,0.0190,0.0180,0.0170,0.0130,0.0140,0.0130,0.0120,0.0140,0.0200,0.0180
"Sejong-si",Sejong-si,0.0270,0.0250,0.0240,0.0180,0.0150,0.0140,0.0120,0.0130,0.0200,0.0220,0.0210,0.0250,0.0280,0.0250,0.0190,0.0150,0.0130,0.0140,0.0110,0.0080,0.0120,0.0210,0.0310,0.0260,0.0240,0.0210,0.0220,0.0180,0.0180,0.0150,0.0120,0.0130,0.0150,0.0190,0.0260,0.0290,0.0270,0.0240,0.0190,0.0140,0.0120,0.0120,0.0100,0.0090,0.0120,0.0200,0.0240,0.0250,0.0250,0.0200,0.0200,0.0150,0.0120,0.0110,0.0090,0.0100,0.0100,0.0160,0.0210,0.0240,0.0250,0.0200,0.0180,0.0150,0.0110,0.0090,0.0090,0.0090,0.0120,0.0160,0.0230,0.0210
"Gyeonggi",Suwon,0.0410,0.0380,0.0420,0.0310,0.0280,0.0230,0.020*,0.0220,0.0300,0.0310,0.0360,0.0370,0.0390,0.0370,0.0310,0.0280,0.0240,0.0240,0.0170,0.0170,0.0210,0.0330,0.0460,0.0400,0.0450,0.0390,0.0340,0.0290,0.0260,0.0200,0.0150,0.0180,0.0210,0.0260,0.0350,0.0380,0.0370,0.0330,0.0270,0.0190,0.0190,0.0180,0.0150,0.0120,0.0170,0.0290,0.0340,0.0360,0.0330,0.0310,0.0320,0.0230,0.0190,0.0180,0.0150,0.0150,0.0140,0.0240,0.0330,0.0340,0.0370,0.0300,0.0280,0.0190,0.0150,0.0120,0.0120,0.0120,0.0170,0.0240,0.0320,0.0300
"Gyeonggi",Anyang,0.0300,0.0300,0.0360,0.0320,0.0270,0.0220,0.0220,0.0230,0.0310,0.0300,0.0360,0.0390,0.0420,0.0410,0.0390,0.0320,0.0250,0.0240,0.0190,0.0170,0.0220,0.0300,0.0410,0.0410,0.0450,0.0400,0.0330,0.0300,0.0270,0.0200,0.0150,0.0170,0.0220,0.0270,0.0360,0.0380,0.0380,0.0330,0.0300,0.0220,0.0200,0.0190,0.0150,0.0120,0.0150,0.0270,0.0350,0.0340,0.0330,0.0310,0.0330,0.0230,0.0200,0.0190,0.0150,0.0140,0.0140,0.0220,0.0300,0.0300,0.0320,0.0260,0.0260,0.0200,0.0150,0.0120,0.0120,0.0110,0.0150,0.0210,0.0290,0.0290
"Gyeonggi",Seongnam,0.0410,0.0390,0.0430,0.0330,0.0310,0.0270,0.0220,0.0210,0.0270,0.0290,0.0370,0.0380,0.0400,0.0390,0.0340,0.0300,0.0260,0.0260,0.0200,0.0190,0.0220,0.0310,0.0430,0.0390,0.0440,0.0400,0.0360,0.0290,0.0290,0.0220,0.0180,0.0200,0.0200,0.0250,0.0350,0.0360,0.0350,0.0320,0.0290,0.0220,0.0210,0.0210,0.0160,0.0130,0.0160,0.0280,0.0330,0.0330,0.0290,0.0300,0.0310,0.0220,0.0190,0.0170,0.0140,0.0140,0.0130,0.0230,0.0320,0.0310,0.0340,0.0270,0.0260,0.0190,0.0160,0.0130,0.0130,0.0120,0.0150,0.0210,0.0290,0.0290
"Gyeonggi",Uijeongbu,0.0320,0.0310,0.0320,0.0280,0.0180,0.0150,0.0160,0.0130,0.0230,0.0240,0.0310,0.0290,0.0260,0.0250,0.0230,0.0130,0.0120,0.0100,0.0080,0.0080,0.0100,0.0210,0.0320,0.0340,0.0380,0.0320,0.0310,0.0230,0.0220,0.0160,0.0150,0.0150,0.0180,0.0220,0.0320,0.0350,0.0330,0.0290,0.0240,0.0200,0.0160,0.0140,0.0130,0.0130,0.0140,0.0240,0.0270,0.0290,0.0280,0.0270,0.0260,0.0210,0.0180,0.0150,0.0130,0.0130,0.0130,0.0190,0.0290,0.0290,0.0310,0.0260,0.0240,0.0190,0.0150,0.0130,0.0120,0.0130,0.0140,0.0170,0.0240,0.0250
"Gyeonggi",Gwangmyeong,0.0330,0.0330,0.0370,0.0300,0.0290,0.0280,0.0250,0.0260,0.0360,0.0370,0.0360,0.0370,0.0380,0.0370,0.0360,0.0340,0.0280,0.0290,0.0200,0.0200,0.0230,0.0320,0.0450,0.0390,0.0430,0.0380,0.0390,0.0330,0.0310,0.0250,0.0220,0.0220,0.0280,0.0320,0.0390,0.0360,0.0360,0.0320,0.0270,0.0200,0.0210,0.0190,0.0140,0.0110,0.0150,0.0240,0.0290,0.0280,0.0290,0.0260,0.0300,0.0200,0.0170,0.0180,0.0150,0.0140,0.0130,0.0220,0.0310,0.0310,0.0310,0.0250,0.0270,0.0190,0.0140,0.0120,0.0120,0.0120,0.0170,0.0230,0.0300,0.0280
"Gyeonggi",Ansan,0.0350,0.0330,0.0350,0.0280,0.0240,0.0200,0.0170,0.0190,0.0280,0.0280,0.0300,0.0310,0.0340,0.0310,0.0270,0.0250,0.0210,0.0200,0.0150,0.0150,0.0200,0.0290,0.0410,0.0340,0.0360,0.0320,0.0290,0.0260,0.0230,0.0190,0.0140,0.0150,0.0210,0.0290,0.0370,0.0370,0.0370,0.0320,0.0260,0.0190,0.0180,0.0170,0.0150,0.010*,0.016*,0.0260,0.0300,0.0300,0.0290,0.0270,0.0290,0.0220,0.0180,0.0170,0.0140,0.0140,0.0140,0.0210,0.0300,0.0310,0.0330,0.0270,0.0270,0.0200,0.0140,0.0100,0.0110,0.0110,0.0160,0.0230,0.0290,0.0290
"Gyeonggi",Pyeongtaek,0.0280,0.0270,0.0280,0.0250,0.0220,0.0180,0.0170,0.0180,0.0230,0.0250,0.0270,0.0310,0.0350,0.0290,0.0250,0.023*,0.019*,0.0170,0.0140,0.0120,0.0150,0.0240,0.0330,0.0290,0.0300,0.0270,0.0240,0.0210,0.0170,0.0130,0.0120,0.0140,0.0160,0.0210,0.0280,0.0280,0.0290,0.0250,0.0200,0.0140,0.0130,0.0130,0.0110,0.0100,0.0130,0.0220,0.0260,0.0280,0.0260,0.0230,0.0230,0.0170,0.0140,0.0130,0.0110,0.0120,0.0110,0.0180,0.0240,0.0260,0.0280,0.0220,0.0220,0.0170,0.0130,0.0100,0.0090,0.0090,0.0130,0.0180,0.0250,0.0250
"Gyeonggi",Gwacheon,0.0350,0.0330,0.0370,0.0290,0.0260,0.0240,0.0190,0.0180,0.0260,0.0260,0.0310,0.0300,0.0320,0.0320,0.0300,0.0290,0.0250,0.0250,0.0180,0.0170,0.0190,0.0280,0.0390,0.0350,0.0390,0.0360,0.0330,0.0280,0.0270,0.0210,0.0170,0.0180,0.0210,0.0240,0.0330,0.0340,0.0350,0.0300,0.0250,0.0190,0.0200,0.0190,0.0160,0.0130,0.0180,0.0270,0.0290,0.0320,0.0300,0.0280,0.0320,0.0220,0.0190,0.0180,0.0150,0.0140,0.0140,0.0200,0.0290,0.0290,0.0330,0.0250,0.024**,0.018*,0.0150,0.0130,0.0130,0.0120,0.0150,0.0210,0.0280,0.0280
"Gyeonggi",Guri,0.0320,0.0300,0.0350,0.0280,0.0260,0.0210,0.0200,0.0170,0.0230,0.0230,0.0320,0.0340,0.0350,0.0330,0.0340,0.0290,0.0230,0.0220,0.0160,0.0130,0.0150,0.0220,0.0320,0.0300,0.0360,0.0290,0.0280,0.0240,0.0250,0.018*,0.0160,0.0150,0.0160,0.0200,0.0280,0.0290,0.0280,0.0260,0.0210,0.0190,0.0160,0.0140,0.0120,0.0120,0.0120,0.0180,0.0230,0.0240,0.0220,0.0210,0.0220,0.0160,0.0140,0.0130,0.0110,0.0100,0.0090,0.0150,0.0210,0.0210,0.0220,0.0170,0.0180,0.0150,0.0120,0.0100,0.0090,0.0100,0.0110,0.0150,0.0230,0.0240
"Gyeonggi",Uiwang,0.0370,0.0380,0.0450,0.0360,0.0330,0.0280,0.0220,0.0200,0.0320,0.0310,0.0380,0.0400,0.0430,0.0420,0.0300,0.0300,0.0240,0.0240,0.0170,0.0160,0.0200,0.0300,0.0430,0.0380,0.0420,0.0390,0.0340,0.0290,0.0280,0.0210,0.0160,0.0170,0.0210,0.0260,0.0350,0.0370,0.0380,0.0330,0.0290,0.0180,0.0190,0.0190,0.0130,0.0110,0.0180,0.0290,0.0320,0.0330,0.0320,0.0300,0.0320,0.019**,0.0170,0.0180,0.0140,0.0140,0.0140,0.0220,0.0300,0.0330,0.0370,0.0300,0.0270,0.0210,0.0150,0.0130,0.0120,0.0110,0.0180,0.0240,0.0330,0.0320
"Gyeonggi",Goyang,0.0260,0.0250,0.0280,0.0280,0.0220,0.0180,0.0180,0.0150,0.0190,0.0190,0.0270,0.0290,0.0270,0.0260,0.0270,0.0220,0.0180,0.0150,0.0120,0.0110,0.0140,0.0220,0.0310,0.0280,0.0320,0.0270,0.0250,0.0200,0.0180,0.0130,0.0110,0.0120,0.0150,0.0180,0.0250,0.0250,0.0240,0.0220,0.0190,0.0160,0.0140,0.0130,0.0120,0.0120,0.0140,0.0200,0.0240,0.0270,0.0260,0.0250,0.0250,0.0190,0.0160,0.0160,0.0140,0.0120,0.012*,0.0190,0.0270,0.0270,0.0270,0.0220,0.0210,0.0180,0.0140,0.0110,0.0100,0.0110,0.0120,0.0170,0.0240,0.0240
"Gyeonggi",Gwangju,0.0410,0.0390,0.0420,0.0330,0.0310,0.0280,0.0230,0.023**,0.0250,0.0260,0.0380,0.0400,0.0410,0.0400,0.0300,0.0270,0.0230,0.0240,0.0180,0.0150,0.0160,0.0260,0.0370,0.0370,0.0420,0.0380,0.0350,0.0270,0.0280,0.0210,0.0170,0.0160,0.0160,0.0200,0.0320,0.0360,0.0330,0.0290,0.0260,0.0190,0.0160,0.0160,0.0120,0.0110,0.0120,0.0220,0.0300,0.0270,0.0230,0.0220,0.0240,0.0170,0.0130,0.0120,0.0110,0.0100,0.0100,0.0160,0.0250,0.0260,0.0320,0.0240,0.0230,0.0180,0.0140,0.0110,0.0110,0.0100,0.0110,0.0170,0.0250,0.0280
"Gyeonggi",Gunpo,0.0390,0.0370,0.0390,0.0300,0.0280,0.0210,0.0180,0.0180,0.0260,0.0250,0.0330,0.0340,0.043*,0.0420,0.0310,0.0290,0.0240,0.0220,0.0170,0.0170,0.0180,0.0300,0.0430,0.0380,0.0390,0.0350,0.0270,0.0240,0.0210,0.0160,0.0140,0.019*,0.0240,0.0260,0.0340,0.0360,0.0360,0.0320,0.0270,0.0180,0.0180,0.0180,0.0150,0.0130,0.0160,0.0260,0.0300,0.0330,0.0330,0.0290,0.0300,0.0220,0.0190,0.0180,0.0140,0.0150,0.0140,0.0230,0.0290,0.0310,0.0320,0.0250,0.0250,0.0200,0.0150,0.0120,0.0120,0.0120,0.0150,0.0200,0.0300,0.0300
"Gyeonggi",Siheung,0.0380,0.0360,0.0390,0.0330,0.0290,0.0230,0.0240,0.0250,0.0320,0.0320,0.0350,0.0350,0.0380,0.0340,0.0330,0.0310,0.0260,0.0250,0.0200,0.0190,0.0230,0.0320,0.0430,0.0360,0.0390,0.0350,0.0330,0.0300,0.0260,0.0200,0.0160,0.0180,0.0250,0.0290,0.0360,0.0370,0.0360,0.0320,0.0280,0.0200,0.0200,0.0200,0.0180,0.0130,0.0180,0.0270,0.0310,0.0310,0.032*,0.0270,0.0280,0.0220,0.0180,0.0180,0.0160,0.0150,0.0140,0.0210,0.0290,0.0310,0.0320,0.0260,0.0270,0.0200,0.0150,0.0120,0.0130,0.0120,0.0180,0.0230,0.0310,0.0300
"Gyeonggi",Bucheon,0.0340,0.0330,0.0360,0.0310,0.0280,0.0240,0.0220,0.0230,0.0290,0.0270,0.0280,0.0310,0.0310,0.0280,0.0290,0.0280,0.025*,0.0250,0.0190,0.0190,0.0220,0.0290,0.0370,0.0310,0.0340,0.0310,0.0290,0.0270,0.0270,0.0240,0.0190,0.0190,0.0250,0.0300,0.0370,0.0360,0.0340,0.0320,0.0290,0.0220,0.0220,0.0210,0.0190,0.0140,0.0200,0.0300,0.0330,0.0320,0.0310,0.0280,0.0320,0.0230,0.0200,0.0200,0.0190,0.0160,0.0170,0.0260,0.0330,0.0350,0.0320,0.0270,0.0280,0.0200,0.0150,0.0140,0.0150,0.0140,0.0190,0.0230,0.0320,0.0280
"Gyeonggi",Namyangju,0.0290,0.0290,0.0300,0.0230,0.0220,0.0180,0.0160,0.0110,0.0170,0.0170,0.0260,0.0290,0.0290,0.0260,0.0250,0.0210,0.0180,0.0180,0.0130,0.0130,0.0120,0.018*,0.0280,0.0270,0.0330,0.0290,0.0290,0.0230,0.0230,0.0170,0.0140,0.0130,0.0130,0.0170,0.0260,0.0280,0.0280,0.0270,0.0220,0.0180,0.0160,0.0160,0.0110,0.0100,0.0120,0.0200,0.0260,0.0280,0.0230,0.0240,0.0230,0.0150,0.0130,0.0120,0.0090,0.0090,0.0080,0.0150,0.0240,0.0240,0.0270,0.0220,0.0210,0.0170,0.0140,0.0110,0.0090,0.0100,0.0100,0.0140,0.0210,0.0240
"Gyeonggi",Yongin,0.0360,0.0350,0.0370,0.0300,0.0270,0.0240,0.0200,0.0200,0.0270,0.0270,0.0340,0.0360,0.0390,0.0380,0.0310,0.0280,0.0240,0.0240,0.0190,0.0180,0.0210,0.0300,0.0420,0.0390,0.0440,0.0430,0.0360,0.0290,0.0220,0.0170,0.0130,0.0140,0.0170,0.0200,0.0300,0.0320,0.0310,0.0270,0.0230,0.0170,0.0140,0.0140,0.0120,0.0100,0.0130,0.0220,0.0270,0.0300,0.0280,0.0250,0.0260,0.0180,0.0150,0.0140,0.0110,0.0110,0.0110,0.0180,0.0260,0.0260,0.0300,0.0240,0.0230,0.0170,0.0130,0.0100,0.0100,0.0090,0.0120,0.0170,0.0250,0.0270
"Gyeonggi",Kimpo,0.0270,0.0250,0.0240,0.0200,0.0170,0.0130,0.0150,0.0140,0.0190,0.0180,0.0250,0.0270,0.0250,0.0250,0.0240,0.0210,0.0160,0.0140,0.0110,0.0110,0.0140,0.0190,0.0250,0.0240,0.0250,0.0200,0.0180,0.0150,0.0140,0.0090,0.0090,0.0100,0.0120,0.0160,0.0220,0.0240,0.0190,0.0170,0.0140,0.0120,0.0120,0.0100,0.0090,0.0100,0.0100,0.0150,0.0200,0.0220,0.0220,0.0190,0.0210,0.0130,0.0110,0.0110,0.0100,0.0100,0.0100,0.016*,0.023*,0.0220,0.0200,0.0170,0.0170,0.0130,0.0090,0.0080,0.0090,0.0090,0.0100,0.0130,0.0200,0.0210
"Gyeonggi",Osan,0.0380,0.0350,0.0380,0.0300,0.0270,0.0210,0.0170,0.0200,0.0260,0.0280,0.0340,0.0330,0.0370,0.0350,0.0300,0.0270,0.0220,0.0200,0.0150,0.0190,0.0230,0.0310,0.0450,0.0330,0.0360,0.0340,0.0340,0.0300,0.0260,0.0190,0.0170,0.0200,0.0240,0.0280,0.0350,0.0350,0.0350,0.0300,0.0270,0.0210,0.0180,0.0180,0.0170,0.0130,0.0180,0.0290,0.0320,0.0330,0.0310,0.0300,0.0300,0.0250,0.0210,0.0200,0.0150,0.0170,0.0180,0.0250,0.0320,0.0320,0.0350,0.0280,0.0280,0.0230,0.0170,0.0130,0.014**,0.0140,0.0180,0.0250,0.0330,0.0310
"Gyeonggi",Hanam,0.0430,0.0420,0.0470,0.0390,0.0400,0.0340,0.0280,0.0230,0.0310,0.0300,0.0370,0.0380,0.0400,0.0410,0.0370,0.0360,0.0320,0.0290,0.0230,0.0210,0.0200,0.0300,0.0400,0.0370,0.0450,0.0390,0.0380,0.0330,0.0330,0.0240,0.0190,0.0220,0.0210,0.0240,0.0340,0.0330,0.0350,0.0330,0.0300,0.0250,0.0200,0.0230,0.0170,0.0150,0.0150,0.0250,0.0300,0.0330,0.0280,0.0280,0.0300,0.0230,0.0190,0.0170,0.0130,0.0130,0.0110,0.0190,0.0300,0.0280,0.0350,0.0290,0.0280,0.0220,0.0190,0.0150,0.0150,0.0160,0.0160,0.0210,0.0270,0.0270
"Gyeonggi",Hwaseong,0.0280,0.0250,0.0270,0.0210,0.0170,0.0140,0.0140,0.0150,0.0190,0.0200,0.0250,0.0270,0.0280,0.0250,0.0240,0.022*,0.017*,0.0140,0.0110,0.0100,0.0130,0.0210,0.0310,0.0270,0.0280,0.0240,0.0190,0.0180,0.0150,0.0120,0.0110,0.0120,0.0140,0.0170,0.0240,0.0250,0.0240,0.0210,0.0170,0.0140,0.0130,0.0120,0.0100,0.0070,0.0110,0.0200,0.0250,0.0250,0.0230,0.0210,0.0220,0.0160,0.0130,0.0130,0.0100,0.0110,0.0110,0.0170,0.0220,0.0250,0.0260,0.0200,0.0200,0.0140,0.0100,0.0080,0.0080,0.0090,0.0120,0.0170,0.0220,0.0250
