"Classification(1)",Classification(2),2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"Gyeongbuk",Andong,0.0180,0.0180,0.0180,0.0150,0.0130,0.0110,0.0110,0.0080,0.0120,0.0130,0.0220,0.0260,0.0250,0.0230,0.0180,0.0130,0.0110,0.0100,0.0080,0.0070,0.0100,0.0130,0.008**,-,-,0.017*,0.0130,0.0110,0.0100,0.0110,0.0060,0.0080,0.0070,0.0080,0.0070,0.0100,0.019*,0.0170,0.0110,0.0110,0.0080,0.0080,0.0050,0.0080,0.0070,0.0120,0.0160,0.0200,0.0170,0.0150,0.0110,0.0080,0.0070,0.0070,0.0050,0.0060,0.0050,0.0080,0.0130,0.0170,0.0190,0.0110,0.0090,0.0080,0.0060,0.0060,0.0070,0.0080,0.0070,0.0090,0.0140,0.0160
"Gyeongbuk",Yeongju,0.0220,0.0200,0.0200,0.0150,0.0110,0.0110,0.0080,0.0070,0.0100,0.0120,0.0200,0.0180,0.0120,0.0160,0.0100,0.0100,0.0080,0.0070,0.0090,0.0100,0.0110,0.0150,0.0220,0.0230,0.0250,0.0210,0.0170,0.0160,0.0140,0.0120,0.0090,0.0090,0.0100,0.0140,0.0200,0.022**,0.021**,0.0160,0.0140,0.0130,0.0100,0.0090,0.0080,0.0070,0.0080,0.0100,0.0080,0.0070,0.0070,0.0070,0.0080,0.0050,0.0040,0.0040,0.0060,0.0060,0.0030,0.0070,0.0120,0.0140,0.0170,0.0130,0.0120,0.0100,0.0090,0.0070,0.0070,0.0070,0.0060,0.0100,0.0160,0.0160
"Gyeongbuk",Gyeongsan,0.0200,0.0180,0.0160,0.0130,0.0120,0.0090,0.0100,0.0090,0.0120,0.0120,0.0180,0.0170,0.0150,0.0150,0.0130,0.0090,0.0080,0.0080,0.0080,0.0060,0.0080,0.0110,0.0160,0.0150,0.0150,0.0140,0.0110,0.0090,0.0080,0.0070,0.0060,0.0070,0.0070,0.0100,0.0120,0.0130,0.012*,0.0110,0.0080,0.0070,0.0060,0.0060,0.0060,0.0050,0.0060,0.0100,0.0110,0.0130,0.0110,0.0100,0.0080,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060,0.0090,0.0120,0.0120,0.0120,0.0100,0.0100,0.0080,0.007*,0.0060,0.0070,0.0070,0.0070,0.0110,0.0160,0.0140
"Gyeongbuk",Sangju,-,-,-,-,-,-,-,-,-,-,-,0.018**,0.0160,0.0190,0.0120,0.0100,0.0090,0.0080,0.0060,0.0080,0.0090,0.0120,0.0190,0.0180,0.0170,0.0150,0.0140,0.0110,0.0100,0.0090,0.0090,0.0070,0.0090,0.0110,0.0170,0.0180,0.0180,0.0140,0.0120,0.0080,0.0080,0.0080,0.0070,0.0070,0.0080,0.0110,0.0150,0.0140,0.0140,0.0140,0.0120,0.0090,0.0070,0.0070,0.0080,0.0070,0.0080,0.0110,0.0150,0.0140,0.0130,0.0120,0.0140,0.0090,0.0070,0.0060,0.0050,0.0060,0.0080,0.0100,0.0160,0.0130
"Gyeongbuk",Chilgok,-,-,-,-,-,-,-,-,-,-,-,0.024**,0.0230,0.0230,0.0200,0.0150,0.0140,0.0130,0.0110,0.0100,0.0140,0.0200,0.0280,0.0220,0.0220,0.0220,0.0220,0.0170,0.0170,0.0140,0.0120,0.0110,0.0140,0.0160,0.0220,0.0210,0.0200,0.0160,0.0140,0.0110,0.0090,0.0100,0.0100,0.0080,0.0100,0.0140,0.0150,0.0160,0.0180,0.0160,0.0190,0.0180,0.0150,0.0140,0.0110,0.0110,0.0110,0.0150,0.0190,0.0190,0.0190,0.0170,0.0190,0.0130,0.0140,0.0090,0.0100,0.0100,0.0120,0.0140,0.0230,0.0200
"Gyeongbuk",Uljin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.011*,0.0100,0.0070,0.0070,0.0070,0.0060,0.0060,0.0060,0.0070,0.0090,0.0110,0.0110,0.0100,0.0070,0.0070,0.0050,0.0050,0.0050,0.0050,0.0050,0.0070,0.0100,0.0120,0.0100,0.0090,0.0080,0.0060,0.0050,0.0040,0.0040,0.0040,0.0040,0.0060,0.0090,0.0090,0.0110,0.0090,0.0090,0.0060,0.0050,0.0040,0.0050,0.0050,0.0050,0.0060,0.0090,0.0090
"Gyeongbuk",Bonghwa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0080,0.0050,0.0050,0.0040,0.0030,0.0050,0.0070,0.0110,0.0090,0.0090,0.0080,0.0080,0.0050,0.0070,0.0040,0.0050,0.0050,0.0060,0.0100,0.0130,0.0090,0.0100,0.009*,0.009*,0.0070,0.0050,0.0040,0.0040,0.0040,0.0050,0.0090,0.0110,0.0130,0.0100,0.0090,0.0080,0.0070,0.0040,0.0040,0.0040,0.0040,0.0050,0.009*,0.0110
"Gyeongbuk",Goryeong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0080,0.0100,0.0130,0.0130,0.0100,0.0090,0.0080,0.0060,0.0070,0.0060,0.0050,0.0050,0.0080,0.0100,0.0090,0.0090,0.0060,0.0060,0.004**,0.0050,0.0050,0.0030,0.0030,0.0040,0.0050,0.008*,0.0080,0.0080,0.0070,0.0080,0.0070,0.0060,0.0050,0.0050,0.0040,0.0040,0.0060,0.0090,0.0090
"Gyeongbuk",Gunwi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.010**,0.0100,0.0080,0.0070,0.0050,0.0060,0.0040,0.0040,0.0040,0.0060,0.0100,0.0110,0.0110,0.0090,0.0070,0.0050,0.0050,0.0050,0.0040,0.0040,0.0050,0.0040,0.0070,0.0070,0.0100,0.0080,0.0070,0.0040,0.0050,0.0040,0.0030,0.003*,0.0020,0.0040,0.0080,0.0100
"Gyeongbuk",Seongju,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0170,0.0150,0.0130,0.0130,0.0100,0.0090,0.0130,0.0180,0.0210,0.0200,0.0180,0.0160,0.0140,0.0120,0.0090,0.0120,0.0090,0.0060,0.0090,0.0140,0.0190,0.0150,0.0190,0.0160,0.0170,0.0110,0.0100,0.0060,0.0090,0.0080,0.0110,0.0150,0.0200,0.0180
"Gyeongbuk",Yecheon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0070,0.0070,0.0050,0.0050,0.0050,0.0050,0.0060,0.0090,0.0120,0.0140,0.0120,0.0110,0.0090,0.0060,0.0060,0.0050,0.0040,0.0040,0.0050,0.0070,0.0110,0.0120,0.0130,0.0100,0.0090,0.0070,0.0050,0.0040,0.0040,0.0040,0.0040,0.0060,0.0110,0.0110
"Gyeongbuk",Cheongdo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0110,0.0090,0.0080,0.0080,0.0120,0.0080,0.0050,0.0060,0.0090,0.0110,0.0120,0.0110,0.0110,0.0090,0.0090,0.0080,0.0080,0.0060,0.0060,0.0060,0.0080,0.0110,0.0120,0.0130,0.0090,0.0090,0.0090,0.0080,0.0060,0.0070,0.0060,0.0060,0.0080,0.0110,0.0120
"Gyeongbuk",Cheongsong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.005**,0.0050,0.0040,0.0050,0.0030,0.0040,0.0040,0.0060,0.0100,0.0120,0.0090,0.0090,0.0060,0.0050,0.0050,0.0040,0.0030,0.0030,0.0040,0.0050,0.0080,0.0080,0.0090,0.0070,0.0050,0.0050,0.0050,0.0040,0.0040,0.0040,0.0030,0.0040,0.0070,0.0080
"Gyeongbuk",Yeongyang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0060,0.0060,0.0040,0.0040,0.0030,0.0040,0.0040,0.0060,0.0090,0.0120,0.0090,0.0080,0.0060,0.0060,0.0040,0.0030,0.0030,0.0030,0.0030,0.0040,0.0070,0.0090,0.0100,0.0080,0.0060,0.0040,0.0040,0.0030,0.0030,0.0030,0.0030,0.0050,0.0070,0.0100
"Gyeongbuk",Mungyeong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.019*,0.0160,0.0110,0.0080,0.0090,0.0070,0.0080,0.0110,0.0170,0.0210,0.0220,0.0200,0.0180,0.0160,0.0110,0.0100,0.0080,0.0070,0.0080,0.0080,0.0140,0.0190,0.0200,0.0190,0.0160,0.0150,0.0100,0.0100,0.0070,0.0050,0.0070,0.0080,0.0120,0.0190,0.0170
"Gyeongbuk",Average for provinces,0.0190,0.0180,0.0180,0.0140,0.0130,0.0120,0.0120,0.0100,0.0130,0.0140,0.0190,0.0190,0.0180,0.0190,0.0160,0.0130,0.0120,0.0110,0.0100,0.0100,0.0120,0.0150,0.0220,0.0200,0.0200,0.0170,0.0160,0.0140,0.0140,0.0110,0.0090,0.0090,0.0090,0.0110,0.0160,0.0170,0.0160,0.0140,0.0120,0.0100,0.0080,0.0090,0.0080,0.0070,0.0090,0.0120,0.0140,0.0150,0.0140,0.0130,0.0120,0.0100,0.0090,0.0080,0.0070,0.0070,0.0070,0.0100,0.0140,0.0140,0.0150,0.0110,0.0120,0.0090,0.0080,0.0070,0.0070,0.0070,0.0070,0.0090,0.0140,0.0130
"Gyeongnam",Changwon,0.0250,0.0230,0.0250,0.0210,0.0200,0.0180,0.0150,0.0140,0.0190,0.0170,0.0270,0.0270,0.0250,0.0250,0.0210,0.0190,0.0170,0.0170,0.0140,0.0130,0.0130,0.0200,0.0310,0.0250,0.0250,0.0230,0.0210,0.0190,0.0200,0.0170,0.0140,0.0140,0.0150,0.0170,0.0250,0.0280,0.0230,0.0220,0.0170,0.0150,0.0130,0.0130,0.0140,0.0110,0.0130,0.0180,0.0220,0.0240,0.0220,0.0190,0.0170,0.0150,0.0130,0.0140,0.011*,0.010*,0.0110,0.0160,0.0240,0.0240,0.0250,0.0180,0.0200,0.0160,0.0140,0.0100,0.0120,0.0110,0.0120,0.0150,0.0240,0.0220
"Gyeongnam",Jinju,0.0200,0.0170,0.0190,0.0160,0.0190,0.0150,0.0120,0.0110,0.0110,0.0110,0.0190,0.0200,0.0180,0.0190,0.0160,0.0140,0.0110,0.0120,0.0110,0.0090,0.0090,0.0130,0.0200,0.0160,0.0190,0.0160,0.0170,0.0120,0.0130,0.0120,0.0110,0.0120,0.0100,0.0120,0.0170,0.0200,0.0170,0.0160,0.0120,0.0120,0.0110,0.0110,0.0100,0.0090,0.0090,0.013*,0.017*,0.0200,0.0180,0.0180,0.0140,0.013*,0.012*,0.011*,0.008**,0.007*,0.0080,0.0120,0.0190,0.0190,0.0210,0.0160,0.0160,0.0120,0.0110,0.0090,0.009*,0.010*,0.007*,0.0120,0.0200,0.0200
"Gyeongnam",Hadong,0.0130,0.0120,0.0140,0.0120,0.0120,0.0100,0.0090,0.0060,0.0060,0.0080,0.0110,0.0120,0.0110,0.0140,0.0130,0.0120,0.0100,0.0090,0.0080,0.0060,0.0060,0.0070,0.0110,0.0100,0.0090,0.0080,0.0060,0.0090,0.0070,0.0060,-,-,-,0.0060,0.0110,0.0120,0.0110,0.0100,0.009*,0.0080,0.0080,0.0090,0.0080,0.0080,0.0060,0.0070,0.0110,0.0130,0.0120,0.0100,0.0100,0.0090,0.0090,0.0100,0.0060,0.0050,0.0050,0.0070,0.0100,0.0110,0.0120,0.0100,0.0130,0.0110,0.0110,0.0080,0.0070,0.0070,0.0060,0.0070,0.0110,0.0100
"Gyeongnam",Gimhae,0.0230,0.0210,0.0220,0.0190,0.0210,0.0170,0.0150,0.0120,0.0160,0.0150,0.0260,0.0220,0.0220,0.0260,0.0230,0.0220,0.0210,0.0210,0.0180,0.0150,0.0160,0.0190,0.0290,0.0240,0.0220,0.0200,0.0190,0.0190,0.0200,0.0160,0.0120,0.0120,0.0140,0.0150,0.0230,0.0260,0.0210,0.0230,0.0180,0.0130,0.0110,0.0130,0.0120,0.0100,0.0130,0.019*,0.0220,0.0230,0.0230,0.0210,0.0190,0.0170,0.0150,0.0160,0.0110,0.0110,0.0110,0.0160,0.0250,0.0250,0.0240,0.0170,0.0200,0.0180,0.0150,0.0110,0.0130,0.0110,0.0130,0.0150,0.0230,0.0210
"Gyeongnam",Yangsan,0.0260,0.0240,0.0260,0.0220,0.0250,0.0200,0.0170,0.0150,0.0200,0.0180,0.0310,0.0260,0.0250,0.0230,0.0210,0.0200,0.0180,0.0200,0.0170,0.0140,0.0150,0.0210,0.0300,0.0260,0.0260,0.0220,0.0220,0.0210,0.0210,0.0170,0.0150,0.0140,0.0140,0.0170,0.0240,0.0260,0.0220,0.0220,0.0180,0.0150,0.0150,0.0150,0.0150,0.0120,0.0140,0.0190,0.0240,0.0240,0.0190,0.0190,0.0170,0.0160,0.0150,0.0150,0.011*,0.010*,0.0110,0.0150,0.0220,0.0220,0.0230,0.0170,0.0190,0.0170,0.0150,0.0110,0.0120,0.0120,0.0110,0.0140,0.0240,0.0210
"Gyeongnam",Geoje,0.0150,0.0140,0.0170,0.0140,0.0200,0.0150,0.0140,0.0100,0.0130,0.0120,0.0160,0.0140,0.017**,-,0.0180,0.0160,0.0150,0.0150,0.0140,0.0100,0.0140,0.0150,0.0210,0.0180,0.0160,0.0180,0.0160,0.0160,0.0170,0.0160,0.0110,0.0120,0.0160,0.0150,0.0170,0.0180,0.0170,0.0150,0.0130,0.0120,0.0120,0.0150,0.0130,0.0090,0.0110,0.0130,0.0150,0.016**,0.013*,0.0110,0.0120,0.0100,0.0090,0.0090,0.0070,0.0070,0.0070,0.0090,0.0110,0.0110,0.0140,0.0100,0.0120,0.0090,0.0080,0.0060,0.0080,0.006**,0.008**,0.009*,0.0140,0.0140
"Gyeongnam",Sacheon,0.0210,0.0230,0.0250,0.0250,0.0310,0.0160,0.0100,0.0080,0.0090,0.0110,0.0180,0.0200,0.0190,0.0190,0.0160,0.0120,0.0100,0.0090,0.0090,0.0080,0.0100,0.0130,0.0210,0.0190,0.0200,0.0170,0.0140,0.0130,0.0110,0.0100,0.0090,0.0090,0.0090,0.0120,0.0180,0.0220,0.0190,0.0180,0.0130,0.0110,0.0080,0.0080,0.0080,0.0070,0.0080,0.0110,0.0150,0.018*,0.0140,0.0130,0.0110,0.0090,0.0080,0.0080,0.0070,0.0060,0.0060,0.0080,0.0130,0.0140,0.0170,0.0120,0.0130,0.0110,0.0110,0.0110,0.007**,0.0100,0.0090,0.0100,0.0150,0.0140
"Gyeongnam",Miryang,-,-,-,-,-,-,-,-,-,-,0.020*,0.0140,0.0170,0.0210,0.0170,0.0150,0.0140,0.0150,0.0110,0.0100,0.0110,0.0150,0.0230,0.0220,0.0240,0.0200,0.0200,0.0160,0.0160,0.0130,0.0120,0.0100,0.0100,0.0120,0.0190,0.0230,0.0200,0.0170,0.0150,0.0130,0.0120,0.0120,0.0110,0.0090,0.0090,0.0120,0.0180,0.0200,0.0180,0.0140,0.0140,0.0130,0.0120,0.0110,0.0090,0.0090,0.0090,0.0110,0.0190,0.0200,0.0190,0.0150,0.0140,0.0120,0.0110,0.0090,0.0090,0.0090,0.0070,0.0090,0.0150,0.0160
"Gyeongnam",Tongyeong,-,-,-,-,-,-,-,-,-,-,0.014*,0.0170,0.0170,0.0190,0.0200,0.0150,0.0110,0.0100,0.0090,0.0090,0.0110,0.0160,0.0270,0.0230,0.0250,0.0220,0.0190,0.0160,0.0150,0.0110,0.0100,0.0110,0.0120,0.0140,0.0220,0.0270,0.0240,0.0210,0.0160,0.0140,0.0110,0.0110,0.0110,0.0080,0.0100,0.0150,0.0180,0.0230,0.0190,0.0170,0.0160,0.0140,0.0110,0.0100,0.0080,0.0080,0.0100,0.0140,0.0210,0.0230,0.0260,0.0150,0.0150,0.0090,0.0120,0.0090,0.0080,0.0090,0.0100,0.0120,0.0190,0.0200
"Gyeongnam",Goseong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0190,0.0160,0.0150,0.0130,0.0110,0.0100,0.0090,0.0090,0.0100,0.0110,0.0160,0.0200,0.0180,0.0140,0.0120,0.0110,0.0090,0.0080,0.0080,0.0070,0.0080,0.0100,0.0130,0.0170,0.0140,0.0140,0.0120,0.0100,0.0090,0.0080,0.0070,0.0070,0.0080,0.0100,0.0160,0.0170,0.0190,0.0130,0.0130,0.0100,0.0090,0.0070,0.0080,0.0080,0.0080,0.0090,0.0140,0.0140
"Gyeongnam",Geochang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0200,0.0160,0.0160,0.0130,0.0120,0.0100,0.0090,0.0090,0.0090,-,0.0170,0.0200,0.0180,0.0140,0.0130,0.0110,0.0100,0.0100,0.0080,0.0070,0.0080,0.0110,0.0150,0.0160,0.0150,0.0130,0.0110,0.0100,0.0080,0.0080,0.0070,0.0070,0.0070,0.0100,0.0160,0.0160,0.0170,0.0140,0.0150,0.0110,0.009*,0.008*,0.0080,0.0070,0.0090,0.0120,0.0190,0.0180
"Gyeongnam",Haman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0190,0.0130,0.0140,0.0120,0.0110,0.0090,0.0080,0.0080,0.0090,-,0.0150,0.0200,0.0180,0.0140,0.0130,0.0110,0.0080,0.0080,0.0080,0.0060,0.0080,0.0100,0.0140,0.0170,0.0160,0.0140,0.0100,0.0100,0.0080,0.0080,0.0080,0.0070,0.0090,0.0090,0.0130,0.0160,0.0180,0.0140,0.0120,0.0100,0.0090,0.0070,0.0070,0.0070,0.0080,0.0090,0.0130,0.0150
"Gyeongnam",Hamyang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0120,0.0130,0.0120,0.0110,0.0090,0.0090,0.0080,0.0070,0.0080,0.0090,0.0130,0.0140,0.0140,0.0110,0.0100,0.0100,0.0080,0.0080,0.0070,0.0060,0.0070,0.0090,0.0110,0.0110,0.0110,0.0090,0.0090,0.0090,0.0080,0.0080,0.0070,0.0060,0.0070,0.0080,0.0110,0.0110,0.0120,0.0110,0.0120,0.0090,0.0080,0.0080,0.0070,0.0060,0.0070,0.0070,0.0120,0.0110
"Gyeongnam",Namhae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0150,0.0130,0.0110,0.0100,0.0100,0.0080,0.0070,0.0080,0.0070,0.0090,0.0120,0.0150,0.0130,0.0100,0.0100,0.010*,0.0080,0.0080,0.0070,0.0060,0.0070,0.0090,0.0120,0.0130,0.0100,0.0100,0.0080,0.0090,0.0080,0.0070,0.0060,0.0060,0.0060,0.0080,0.0100,0.0120,0.0130,0.0100,0.0110,0.0080,0.0080,0.0060,0.0060,0.0060,0.0060,0.0080,0.0100,0.0110
"Gyeongnam",Sancheong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0120,0.0150,0.0130,0.0100,0.0090,0.0080,0.0060,0.0070,0.0060,0.0060,0.0060,0.0080,0.0110,0.0120,0.0150,0.0110,0.0090,0.0080,0.0070,0.0070,0.0060,0.0050,0.0060,0.0090,0.0120,0.0120,0.0130,0.0100,0.0110,0.0090,0.0080,0.0060,0.0050,0.0060,0.0070,0.0090,0.0130,0.0110
"Gyeongnam",Uiryeong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0120,0.0140,0.0130,0.0100,0.0090,0.0080,0.0080,0.0070,0.0060,0.0050,0.0050,0.0080,0.0110,0.0130,0.0110,0.0110,0.0080,0.0080,0.0070,0.0080,0.0050,0.0050,0.0050,0.0080,0.0110,0.0110,0.0130,0.0090,0.0100,0.0080,0.0070,0.0050,0.0050,0.0050,0.0050,0.0070,0.0120,0.0110
"Gyeongnam",Changnyeong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0180,0.0200,0.0180,0.0170,0.0140,0.0120,0.0100,0.0110,0.0100,0.0090,0.0100,0.0140,0.0180,0.0180,0.0180,0.0150,0.0140,0.0120,0.0110,0.0110,0.0080,0.0080,0.0080,0.0120,0.0170,0.0180,0.0180,0.0130,0.0150,0.0110,0.0110,0.0080,0.0090,0.0090,0.0080,0.0100,0.0180,0.0160
"Gyeongnam",Hapcheon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0100,0.0130,0.0140,0.0110,0.0090,0.0080,0.0070,0.0070,0.0070,0.0060,0.0060,0.0070,0.0090,0.0120,0.0110,0.0140,0.0110,0.0100,0.0090,0.0100,0.009**,-,0.010*,0.0100,0.0120,0.0130,0.0150,0.0120,0.0110,0.0090,0.0080,0.0060,0.0060,0.0060,0.0060,0.0080,0.0120,0.0130
"Gyeongnam",Average for provinces,0.0230,0.0210,0.0230,0.0200,0.0210,0.0170,0.0140,0.0120,0.0160,0.0140,0.0240,0.0230,0.0220,0.0230,0.0200,0.0180,0.0160,0.0160,0.0130,0.0120,0.0120,0.0170,0.0270,0.0220,0.0210,0.0190,0.0180,0.0160,0.0160,0.0140,0.0120,0.0120,0.0120,0.0140,0.0200,0.0230,0.0190,0.0180,0.0150,0.0120,0.0110,0.0110,0.0110,0.0090,0.0100,0.0140,0.0180,0.0200,0.0180,0.0160,0.0140,0.0130,0.0110,0.0120,0.0090,0.0080,0.0090,0.0120,0.0180,0.0190,0.0200,0.0150,0.0160,0.0130,0.0120,0.0090,0.0100,0.0090,0.0100,0.0120,0.0190,0.0180
"Jeju Special Self-governing Province",Jeju,0.0130,0.0130,0.0160,0.0150,0.0150,0.0120,0.0090,0.009**,0.010*,0.0090,0.0150,0.0130,0.0150,0.0150,0.0160,0.0120,0.0120,0.0090,0.0070,0.0060,0.0090,0.0110,0.0160,0.0130,0.0150,0.0140,0.0170,0.0150,0.0130,0.0120,0.0090,0.0100,0.0110,0.0110,0.0130,0.0140,0.0140,0.0130,0.0120,0.0110,0.0110,0.0120,0.0100,0.0080,0.0090,0.0100,0.0130,0.0140,0.0090,0.0110,0.0110,0.0100,0.0100,0.0090,0.0060,0.0070,0.0070,0.0090,0.0110,0.0110,0.0100,0.0090,0.0110,0.0100,0.0090,0.0070,0.0060,0.0060,0.0070,0.0080,0.0100,0.0090
"Jeju Special Self-governing Province",Seogwipo,0.0120,0.0110,0.0110,0.0090,0.0070,0.0060,0.0040,0.0060,0.0060,0.0050,0.0080,0.0070,0.0070,0.0080,0.0080,0.0080,0.0060,0.0060,0.0050,0.0050,0.0050,0.0070,0.0100,0.0070,0.0090,0.0080,0.0090,0.0080,0.0070,0.0060,0.0040,0.0050,0.0050,0.0050,0.0070,0.0080,0.0080,0.0070,0.0060,0.0070,0.0060,0.0050,0.0050,0.0040,0.0050,0.0060,0.0070,0.0080,0.0060,0.0070,0.0070,0.0060,0.0060,0.0050,0.0040,0.0040,0.0040,0.0050,0.0070,0.0070,0.0070,0.0070,0.0070,0.0060,0.0060,0.0040,0.0040,0.0040,0.0040,0.0050,0.0060,0.0060
"Jeju Special Self-governing Province",Average for provinces,0.0130,0.0120,0.0140,0.0130,0.0120,0.0100,0.0070,0.007*,0.0080,0.0070,0.0110,0.0100,0.0110,0.0120,0.0120,0.0100,0.0090,0.0080,0.0060,0.0060,0.0070,0.0090,0.0130,0.0100,0.0120,0.0110,0.0120,0.0100,0.0100,0.0080,0.0060,0.0070,0.0070,0.0080,0.0090,0.0100,0.0100,0.0090,0.0080,0.0080,0.0070,0.0080,0.0060,0.0050,0.0070,0.0080,0.0090,0.0100,0.0080,0.0090,0.0090,0.0080,0.0080,0.0070,0.0050,0.0050,0.0060,0.0070,0.0090,0.0090,0.0080,0.0080,0.0090,0.0080,0.0070,0.0060,0.0050,0.0050,0.0060,0.0060,0.0080,0.0070
